"Pregunta","Semana","Tema","Dificultad","Opciones","Respuesta correcta","Explicación"
"Una piel puede ser grasa y estar deshidratada.","Semana 1","Diagnóstico","Básica","A) Verdadero | B) Falso","A","El sebo y el agua son temas distintos."
"¿Qué se hace antes de elegir aparato?","Semana 1","Diagnóstico","Básica","A) Diagnóstico | B) Promesa comercial | C) Precio del producto","A","La técnica depende del diagnóstico."
"Si hay ardor, tirantez y descamación, ¿qué priorizas?","Semana 2","Seguridad","Básica","A) Microdermo | B) Reparar barrera | C) Vapor prolongado","B","La barrera alterada requiere calma."
"¿Qué significa TEWL?","Semana 2","Teoría","Básica","A) Pérdida transepidérmica de agua | B) Tipo de acné | C) Técnica de masaje","A","Es pérdida de agua a través de la piel."
"¿Cuándo evitar vapor?","Semana 3","Aparatología","Media","A) Comedones no inflamados | B) Rosácea sospechosa | C) Piel normal resistente","B","El calor puede empeorar rojez y sensibilidad."
"¿Qué lesión no se fuerza?","Semana 3","Seguridad","Media","A) Comedón abierto no inflamado | B) Pápula dolorosa | C) Poro visible","B","Forzar lesiones inflamadas aumenta riesgo."
"¿Cuál es un BHA común?","Semana 4","Ingredientes","Básica","A) Ácido salicílico | B) Glicerina | C) Ceramida","A","El salicílico es liposoluble."
"¿Cuándo evitar microdermoabrasión?","Semana 4","Aparatología","Media","A) Textura resistente | B) Barrera dañada | C) Piel opaca resistente","B","Puede empeorar irritación."
"¿Qué es un humectante?","Semana 5","Ingredientes","Básica","A) Retiene/atrae agua | B) Retira comedones | C) Calienta tejido","A","Apoya hidratación."
"¿Piel grasa necesita hidratación?","Semana 5","Ingredientes","Básica","A) Sí | B) No","A","Puede estar deshidratada."
"¿Alta frecuencia sustituye tratamiento médico de acné?","Semana 6","Aparatología","Media","A) Sí | B) No","B","Es apoyo estético."
"¿Qué ingrediente puede apoyar piel grasa?","Semana 6","Ingredientes","Básica","A) Niacinamida | B) Perfume | C) Talco","A","Puede apoyar sebo y barrera."
"¿Qué significa PIH?","Semana 7","Diagnóstico","Básica","A) Hiperpigmentación postinflamatoria | B) pH interno | C) Poro inflamado húmedo","A","Aparece tras inflamación o lesión."
"¿Qué es clave en manchas?","Semana 7","Seguridad","Básica","A) Protector solar | B) Vapor largo | C) Exfoliar diario","A","La fotoprotección es central."
"¿La cabina diagnostica rosácea?","Semana 8","Diagnóstico","Media","A) Sí | B) No","B","Se reconocen señales y se deriva."
"Herpes activo es semáforo...","Semana 8","Seguridad","Básica","A) Verde | B) Amarillo | C) Rojo","C","No se trabaja."
"¿Cuándo evitar radiofrecuencia?","Semana 9","Aparatología","Media","A) Marcapasos | B) Piel normal sin contraindicaciones | C) Sequedad leve","A","Es contraindicación importante."
"¿Qué expectativa es correcta en firmeza?","Semana 9","Protocolos","Media","A) Apoyo cosmético | B) Lifting quirúrgico | C) Curación médica","A","No se prometen resultados médicos."
"¿Se usa aparato porque está disponible?","Semana 10","Aparatología","Básica","A) Sí | B) No","B","Se usa por indicación."
"¿Qué aparato puede apoyar post-extracción?","Semana 10","Aparatología","Básica","A) Alta frecuencia | B) Microdermo fuerte | C) RF con agujas","A","Si no hay contraindicaciones."
"Un protocolo debe incluir contraindicaciones.","Semana 11","Protocolos","Básica","A) Verdadero | B) Falso","A","Es parte de seguridad."
