"Pregunta","Respuesta","Tema","Dificultad","Semana","Revisar otra vez"
"¿Cuál es la diferencia entre biotipo y condición?","El biotipo es la tendencia base; la condición es el estado actual y puede cambiar.","Diagnóstico","Básica","Semana 1","__NO__"
"¿Puede una piel grasa estar deshidratada?","Sí, deshidratación es falta de agua, no falta de grasa.","Diagnóstico","Básica","Semana 1","__NO__"
"¿Qué se pregunta antes de aparatología?","Medicamentos, embarazo, implantes, enfermedades, procedimientos recientes y sensibilidad.","Seguridad","Media","Semana 1","__NO__"
"¿Qué es TEWL?","Pérdida transepidérmica de agua.","Teoría","Básica","Semana 2","__NO__"
"¿Qué indica ardor, tirantez y descamación?","Posible barrera alterada o piel sensibilizada.","Diagnóstico","Media","Semana 2","__NO__"
"¿Qué se evita con barrera dañada?","Vapor intenso, microdermoabrasión, ácidos fuertes, fricción y extracción agresiva.","Seguridad","Media","Semana 2","__NO__"
"¿Para qué sirve el vapor?","Puede ablandar comedones y preparar limpieza si la piel lo tolera.","Aparatología","Básica","Semana 3","__NO__"
"¿Cuándo evitar vapor?","Rosácea sospechosa, piel muy sensible, barrera dañada o calor excesivo.","Seguridad","Media","Semana 3","__NO__"
"¿Qué lesión no se debe forzar en extracción?","Lesión inflamada, dolorosa, abierta o infectada.","Seguridad","Media","Semana 3","__NO__"
"¿Qué diferencia hay entre AHA y BHA?","AHA trabaja más en superficie; BHA es liposoluble y se usa mucho en poro/comedones.","Ingredientes","Media","Semana 4","__NO__"
"¿Cuándo evitar microdermoabrasión?","Acné inflamatorio, rosácea, barrera dañada, quemadura solar o piel irritada.","Aparatología","Media","Semana 4","__NO__"
"¿Qué es un humectante?","Ingrediente que atrae o retiene agua.","Ingredientes","Básica","Semana 5","__NO__"
"Da ejemplos de humectantes.","Ácido hialurónico, glicerina y pantenol.","Ingredientes","Básica","Semana 5","__NO__"
"¿La piel grasa necesita hidratación?","Sí, puede tener exceso de sebo y falta de agua.","Ingredientes","Básica","Semana 5","__NO__"
"¿Qué es un comedón?","Obstrucción del folículo que puede ser abierta o cerrada.","Diagnóstico","Básica","Semana 6","__NO__"
"¿Alta frecuencia cura acné?","No, es apoyo estético y no sustituye tratamiento médico.","Aparatología","Media","Semana 6","__NO__"
"¿Qué ingredientes apoyan piel grasa?","Niacinamida, zinc, salicílico y arcillas, según tolerancia.","Ingredientes","Media","Semana 6","__NO__"
"¿Qué significa PIH?","Hiperpigmentación postinflamatoria.","Diagnóstico","Básica","Semana 7","__NO__"
"¿Qué protector solar se recomienda como base?","Amplio espectro, SPF 30 o mayor y resistente al agua cuando aplique.","Seguridad","Básica","Semana 7","__NO__"
"¿Qué hacer ante mancha sospechosa?","No tratar en cabina y referir.","Seguridad","Media","Semana 7","__NO__"
"¿La cabina diagnostica rosácea?","No, solo reconoce señales de precaución y deriva si corresponde.","Diagnóstico","Media","Semana 8","__NO__"
"¿Qué es semáforo rojo?","Situación donde se pospone o deriva por riesgo.","Seguridad","Básica","Semana 8","__NO__"
"¿Qué ingredientes son calmantes?","Pantenol, aloe, avena, centella, ceramidas, glicerina.","Ingredientes","Básica","Semana 8","__NO__"
"¿Radiofrecuencia superficial es igual a RF con agujas?","No, son procedimientos distintos y con riesgos diferentes.","Aparatología","Difícil","Semana 9","__NO__"
"¿Cuándo evitar radiofrecuencia?","Marcapasos, implantes electrónicos, embarazo, lesiones activas o sensibilidad alterada.","Seguridad","Media","Semana 9","__NO__"
"¿Qué se promete con un protocolo reafirmante?","Apoyo cosmético y mantenimiento, no resultados médicos o quirúrgicos.","Protocolos","Media","Semana 9","__NO__"
"¿Se usa aparato solo porque está disponible?","No, se usa solo si el diagnóstico lo justifica.","Aparatología","Básica","Semana 10","__NO__"
"¿Qué aparato puede apoyar después de extracción puntual?","Alta frecuencia, si no hay contraindicaciones.","Aparatología","Básica","Semana 10","__NO__"
"¿Qué prioriza la matriz de aparatos?","Seguridad, diagnóstico y objetivo del facial.","Seguridad","Media","Semana 10","__NO__"
"¿Qué debe incluir un protocolo?","Objetivo, diagnóstico, productos, aparatología opcional, contraindicaciones, pasos y cuidados.","Protocolos","Media","Semana 11","__NO__"
"¿Qué protocolo elegirías para piel con ardor?","Calmante, sin calor ni exfoliación agresiva.","Protocolos","Básica","Semana 11","__NO__"
"¿Qué se registra en un portafolio de caso?","Ficha, diagnóstico, protocolo, reacción, cuidados y seguimiento.","Casos","Media","Semana 12","__NO__"
