"Lección","Semana","Día","Tema","Objetivo","Estado","Recurso principal"
"Día 01 - Biotipo vs condición","Semana 1","Lunes","Diagnóstico","Diferenciar biotipo de condición actual","Pendiente","Lecciones/Semana 01 - Diagnóstico facial.md"
"Día 02 - Ficha facial profesional","Semana 1","Martes","Diagnóstico","Crear entrevista breve antes de trabajar","Pendiente","Lecciones/Semana 01 - Diagnóstico facial.md"
"Día 03 - Observación de piel","Semana 1","Miércoles","Diagnóstico","Observar piel sin apresurar diagnóstico","Pendiente","Lecciones/Semana 01 - Diagnóstico facial.md"
"Día 04 - Diagnóstico guiado","Semana 1","Jueves","Diagnóstico","Aplicar método de 5 pasos","Pendiente","Lecciones/Semana 01 - Diagnóstico facial.md"
"Día 05 - Estrato córneo y barrera","Semana 2","Lunes","Teoría","Explicar barrera cutánea en palabras simples","Pendiente","Lecciones/Semana 02 - Barrera cutánea.md"
"Día 06 - pH, manto hidrolipídico y TEWL","Semana 2","Martes","Teoría","Conectar teoría con elección de productos","Pendiente","Lecciones/Semana 02 - Barrera cutánea.md"
"Día 07 - Piel sensible vs sensibilizada","Semana 2","Miércoles","Diagnóstico","Diferenciar tendencia de reacción temporal","Pendiente","Lecciones/Semana 02 - Barrera cutánea.md"
"Día 08 - Protocolo calmante","Semana 2","Jueves","Protocolos","Diseñar facial seguro cuando la piel pide pausa","Pendiente","Lecciones/Semana 02 - Barrera cutánea.md"
"Día 09 - Tipos de limpiadores","Semana 3","Lunes","Ingredientes","Elegir limpiador por piel y momento","Pendiente","Lecciones/Semana 03 - Limpieza profesional.md"
"Día 10 - Vapor","Semana 3","Martes","Aparatología","Usar vapor como herramienta no obligatoria","Pendiente","Lecciones/Semana 03 - Limpieza profesional.md"
"Día 11 - Extracción segura","Semana 3","Miércoles","Protocolos","Decidir extraer, no extraer o posponer","Pendiente","Lecciones/Semana 03 - Limpieza profesional.md"
"Día 12 - Protocolo de limpieza profunda","Semana 3","Jueves","Protocolos","Armar protocolo completo y seguro","Pendiente","Lecciones/Semana 03 - Limpieza profesional.md"
"Día 13 - Exfoliación física, química y enzimática","Semana 4","Lunes","Teoría","Diferenciar mecanismos de exfoliación","Pendiente","Lecciones/Semana 04 - Exfoliación.md"
"Día 14 - AHA, BHA, PHA y enzimas","Semana 4","Martes","Ingredientes","Asociar ingrediente con indicación estética","Pendiente","Lecciones/Semana 04 - Exfoliación.md"
